7_days_ago,6_days_ago,5_days_ago,4_days_ago,3_days_ago,2_days_ago,1_days_ago,0_days_ago,sales_change
0.0,0.0,0.0,0.0,0.0,1.28,-0.63,7.01,28.57
0.0,0.0,0.0,0.0,0.0,-2.38,-1.63,-0.83,24.53
0.0,0.0,0.0,0.0,0.0,-2.38,-1.63,-0.83,-5.56
0.0,0.0,0.0,0.0,0.0,2.4,2.34,-0.76,29.27
0.0,0.0,0.0,0.0,0.0,1.45,2.14,-0.7,-17.07
0.0,0.0,0.0,0.0,0.0,2.67,3.57,3.76,-72.73
0.0,0.0,0.0,0.0,0.0,-1.12,-9.03,-1.24,366.67
0.0,0.0,0.0,0.0,0.0,-1.15,-2.32,-1.19,0.0
0.0,0.0,0.0,0.0,0.0,-2.38,-1.63,-0.83,-15.93
0.0,0.0,0.0,0.0,1.28,-0.63,7.01,0.0,-44.44
0.0,0.0,0.0,0.0,-2.38,-1.63,-0.83,0.0,-21.21
0.0,0.0,0.0,0.0,-2.38,-1.63,-0.83,0.0,58.82
0.0,0.0,0.0,0.0,2.4,2.34,-0.76,0.0,1.89
0.0,0.0,0.0,0.0,1.45,2.14,-0.7,0.0,-17.65
0.0,0.0,0.0,0.0,0.0,1.03,-5.1,5.38,-4.76
0.0,0.0,0.0,0.0,0.61,0.49,0.0,0.36,-75.0
0.0,0.0,0.0,0.0,2.67,3.57,3.76,0.0,300.0
0.0,0.0,0.0,0.0,5.98,0.0,1.61,0.79,-21.67
0.0,0.0,0.0,0.0,-3.07,0.0,-1.58,1.61,-29.41
0.0,0.0,0.0,0.0,-2.36,0.4,0.0,2.01,-33.33
0.0,0.0,0.0,0.0,-1.12,-9.03,-1.24,0.0,-14.29
0.0,0.0,0.0,0.0,-1.15,-2.32,-1.19,1.2,-100.0
0.0,0.0,0.0,0.0,-4.2,-0.88,0.0,-1.77,-20.17
0.0,0.0,0.0,0.0,-2.38,-1.63,-0.83,0.0,24.18
0.0,0.0,0.0,0.0,0.0,-0.53,3.72,1.54,-100.0
0.0,0.0,0.0,1.28,-0.63,7.01,0.0,0.0,30.0
0.0,0.0,0.0,-2.38,-1.63,-0.83,0.0,0.0,-8.65
0.0,0.0,0.0,-2.38,-1.63,-0.83,0.0,0.0,29.63
0.0,0.0,0.0,1.82,2.09,0.0,0.0,5.26,30.0
0.0,0.0,0.0,-1.56,-1.19,0.0,0.0,6.43,50.0
0.0,0.0,0.0,-6.39,0.0,0.0,1.61,6.72,6.67
0.0,0.0,0.0,2.4,2.34,-0.76,0.0,0.0,-22.22
0.0,0.0,0.0,1.45,2.14,-0.7,0.0,0.0,67.86
0.0,0.0,0.0,-6.74,0.0,0.0,2.81,3.52,-11.54
0.0,0.0,0.0,0.0,1.03,-5.1,5.38,0.0,70.0
0.0,0.0,0.0,0.61,0.49,0.0,0.36,0.0,700.0
0.0,0.0,0.0,2.67,3.57,3.76,0.0,0.0,-45.83
0.0,0.0,0.0,3.04,0.88,0.0,0.0,5.26,-12.5
0.0,0.0,0.0,-6.39,0.0,0.0,1.61,5.93,100.0
0.0,0.0,0.0,5.98,0.0,1.61,0.79,0.0,-15.32
0.0,0.0,0.0,-3.07,0.0,-1.58,1.61,6.72,4.17
0.0,0.0,0.0,-2.36,0.4,0.0,2.01,2.76,25.0
0.0,0.0,0.0,-0.36,0.0,0.18,0.0,0.18,200.0
0.0,0.0,0.0,-1.12,-9.03,-1.24,0.0,0.0,41.67
0.0,0.0,0.0,1.82,2.09,0.0,0.0,5.26,152.94
0.0,0.0,0.0,-1.15,-2.32,-1.19,1.2,7.91,100.0
0.0,0.0,0.0,-4.2,-0.88,0.0,-1.77,0.0,8.42
0.0,0.0,0.0,-2.38,-1.63,-0.83,0.0,0.0,-4.21
0.0,0.0,0.0,-2.73,0.0,0.0,1.61,5.14,43.48
0.0,0.0,0.0,5.0,15.71,0.0,0.0,2.06,40.62
0.0,0.0,0.0,0.0,-0.53,3.72,1.54,0.0,100.0
0.0,0.0,0.0,0.0,-5.0,5.26,0.0,-10.0,-55.07
0.0,0.0,1.28,-0.63,7.01,0.0,0.0,0.0,-30.77
0.0,0.0,-2.38,-1.63,-0.83,0.0,0.0,0.0,-18.95
0.0,0.0,-2.38,-1.63,-0.83,0.0,0.0,0.0,-77.14
0.0,0.0,1.82,2.09,0.0,0.0,5.26,0.0,30.77
0.0,0.0,-1.56,-1.19,0.0,0.0,6.43,3.02,-33.33
0.0,0.0,-6.39,0.0,0.0,1.61,6.72,1.11,0.0
0.0,0.0,2.4,2.34,-0.76,0.0,0.0,0.0,11.9
0.0,0.0,1.45,2.14,-0.7,0.0,0.0,0.0,-17.02
0.0,0.0,-6.74,0.0,0.0,2.81,3.52,1.89,-13.04
0.0,0.0,0.0,1.03,-5.1,5.38,0.0,0.0,14.71
0.0,0.0,0.61,0.49,0.0,0.36,0.0,0.0,-50.0
0.0,0.0,2.67,3.57,3.76,0.0,0.0,0.0,0.0
0.0,0.0,3.04,0.88,0.0,0.0,5.26,0.0,42.86
0.0,0.0,-6.39,0.0,0.0,1.61,5.93,0.0,-42.31
0.0,0.0,0.0,0.0,4.32,2.59,0.0,-1.01,-14.29
0.0,0.0,5.98,0.0,1.61,0.79,0.0,0.0,-10.55
0.0,0.0,-3.07,0.0,-1.58,1.61,6.72,0.0,-44.0
0.0,0.0,-2.36,0.4,0.0,2.01,2.76,1.92,-10.0
0.0,0.0,-0.36,0.0,0.18,0.0,0.18,0.0,-66.67
0.0,0.0,-1.12,-9.03,-1.24,0.0,0.0,0.0,-23.53
0.0,0.0,1.82,2.09,0.0,0.0,5.26,0.0,-32.56
0.0,0.0,-1.15,-2.32,-1.19,1.2,7.91,0.0,-21.43
0.0,0.0,-4.2,-0.88,0.0,-1.77,0.0,1.8,-16.5
0.0,0.0,-2.38,-1.63,-0.83,0.0,0.0,0.0,13.74
0.0,0.0,-2.73,0.0,0.0,1.61,5.14,2.63,-30.3
0.0,0.0,5.0,15.71,0.0,0.0,2.06,0.0,-42.22
0.0,0.0,0.0,-0.53,3.72,1.54,0.0,0.0,-75.0
0.0,0.0,0.0,-5.0,5.26,0.0,-10.0,11.11,-6.45
0.0,1.28,-0.63,7.01,0.0,0.0,0.0,0.0,22.22
0.0,-2.38,-1.63,-0.83,0.0,0.0,0.0,0.0,-33.77
0.0,0.0,0.0,0.0,0.0,4.02,0.6,0.89,0.0
0.0,-2.38,-1.63,-0.83,0.0,0.0,0.0,0.0,25.0
0.0,-1.72,0.0,-1.17,0.0,0.0,0.0,1.48,200.0
0.0,-1.59,-3.23,0.0,0.0,0.0,0.0,-5.83,-65.0
0.0,1.82,2.09,0.0,0.0,5.26,0.0,0.0,-17.65
0.0,0.0,-5.0,0.0,5.26,0.0,0.0,-5.0,75.76
0.0,-1.56,-1.19,0.0,0.0,6.43,3.02,0.0,75.0
0.0,-6.39,0.0,0.0,1.61,6.72,1.11,0.0,-31.25
0.0,2.4,2.34,-0.76,0.0,0.0,0.0,0.0,-2.13
0.0,0.0,-0.89,-1.79,0.0,0.0,0.0,1.22,-100.0
0.0,1.45,2.14,-0.7,0.0,0.0,0.0,0.0,-17.95
0.0,-6.74,0.0,0.0,2.81,3.52,1.89,0.0,-5.0
0.0,0.0,1.03,-5.1,5.38,0.0,0.0,0.0,-7.69
0.0,0.61,0.49,0.0,0.36,0.0,0.0,0.0,0.0
0.0,2.67,3.57,3.76,0.0,0.0,0.0,0.0,-23.08
0.0,3.04,0.88,0.0,0.0,5.26,0.0,0.0,20.0
0.0,-6.39,0.0,0.0,1.61,5.93,0.0,0.0,53.33
0.0,0.0,0.0,4.32,2.59,0.0,-1.01,-4.08,-50.0
0.0,5.98,0.0,1.61,0.79,0.0,0.0,0.0,1.97
0.0,-3.07,0.0,-1.58,1.61,6.72,0.0,0.0,50.0
0.0,-2.36,0.4,0.0,2.01,2.76,1.92,0.0,-11.11
0.0,-0.36,0.0,0.18,0.0,0.18,0.0,0.0,200.0
0.0,-1.12,-9.03,-1.24,0.0,0.0,0.0,0.0,30.77
0.0,1.82,2.09,0.0,0.0,5.26,0.0,0.0,34.48
0.0,-1.15,-2.32,-1.19,1.2,7.91,0.0,0.0,-27.27
0.0,-4.2,-0.88,0.0,-1.77,0.0,1.8,0.0,-10.47
0.0,-2.38,-1.63,-0.83,0.0,0.0,0.0,0.0,-14.49
0.0,-2.73,0.0,0.0,1.61,5.14,2.63,0.0,8.7
0.0,5.0,15.71,0.0,0.0,2.06,0.0,0.0,19.23
0.0,0.0,-0.53,3.72,1.54,0.0,0.0,0.0,-100.0
0.0,0.0,0.37,0.0,0.0,0.74,0.0,0.73,-10.52
0.0,0.0,-5.0,5.26,0.0,-10.0,11.11,0.0,-100.0
1.28,-0.63,7.01,0.0,0.0,0.0,0.0,0.0,18.18
-2.38,-1.63,-0.83,0.0,0.0,0.0,0.0,0.0,-13.73
0.0,0.0,0.0,0.0,4.02,0.6,0.89,0.29,-53.33
0.0,0.32,0.0,0.97,0.0,0.0,0.0,-5.75,-30.0
-2.38,-1.63,-0.83,0.0,0.0,0.0,0.0,0.0,70.0
0.0,0.0,0.0,0.4,0.0,0.0,-0.4,-0.4,56.52
-1.72,0.0,-1.17,0.0,0.0,0.0,1.48,0.87,-66.67
0.0,0.0,-1.52,0.51,0.0,0.0,0.0,1.02,140.0
-1.59,-3.23,0.0,0.0,0.0,0.0,-5.83,0.0,-42.86
1.82,2.09,0.0,0.0,5.26,0.0,0.0,0.0,0.0
0.0,-5.0,0.0,5.26,0.0,0.0,-5.0,5.26,-9.48
-1.56,-1.19,0.0,0.0,6.43,3.02,0.0,0.0,19.05
-6.39,0.0,0.0,1.61,6.72,1.11,0.0,0.0,27.27
