price_change,sales_change
0.36,-100.0
0.5,-100.0
-0.4,100.0
1.0,-100.0
0.64,-100.0
2.01,-100.0
-0.4,-60.0
-3.0,100.0
-1.32,100.0
-0.5,100.0
2.0,-100.0
-1.18,100.0
-0.4,0.0
-0.4,400.0
5.43,-100.0
0.17,0.0
1.0,-33.33
1.02,100.0
-0.33,-100.0
0.41,-100.0
-8.25,100.0
-1.96,100.0
-0.4,0.0
-0.4,0.0
-0.98,-100.0
-0.2,-100.0
-1.3,100.0
-0.2,-100.0
-0.4,-80.0
-0.99,-100.0
5.62,0.0
-0.14,100.0
-2.11,9.38
-2.06,0.0
0.81,133.33
2.82,100.0
3.23,166.67
0.76,0.0
2.42,50.0
3.23,100.0
1.0,100.0
2.02,0.0
2.42,100.0
2.42,300.0
2.82,100.0
0.36,4.29
-0.18,-66.67
-0.14,-50.0
2.8,-100.0
1.18,100.0
0.78,-50.0
-0.5,-33.33
1.57,133.33
0.78,100.0
1.98,250.0
0.79,-100.0
1.57,-50.0
2.94,-28.57
1.18,200.0
0.36,8.22
-0.42,-100.0
0.39,100.0
-0.5,-100.0
1.01,-100.0
-0.98,100.0
-5.26,100.0
0.78,100.0
-0.36,2.53
0.4,100.0
-0.2,-100.0
-0.39,100.0
1.79,2.47
-0.71,100.0
-1.55,-100.0
-2.06,-100.0
-0.36,400.0
-2.06,-33.33
-2.06,-50.0
0.39,100.0
12.74,-66.67
3.36,100.0
3.59,100.0
0.35,-5.56
7.16,300.0
4.33,200.0
7.32,0.0
0.7,0.0
4.92,-25.0
1.04,-100.0
5.39,200.0
-2.06,0.0
0.35,8.24
1.03,100.0
1.02,-25.0
1.7,0.0
-1.0,300.0
-1.98,-50.0
-10.05,0.0
-0.4,-100.0
-4.21,100.0
-22.86,-80.0
-1.98,-100.0
-5.03,0.0
-4.21,-75.0
-6.32,0.0
-5.07,200.0
-6.15,400.0
-2.11,200.0
-5.56,175.0
-2.86,62.5
-4.21,100.0
-1.04,0.0
-1.01,-25.0
-2.02,200.0
-18.62,100.0
-0.71,-100.0
-15.38,-50.0
3.11,100.0
-0.67,0.0
-11.11,500.0
-0.8,0.0
-1.0,-100.0
-7.05,-50.0
-1.98,50.0
-1.81,-100.0
-0.8,-100.0
-13.19,0.0
-4.49,300.0
-0.33,-100.0
-9.61,33.33
-13.97,60.0
-2.15,-66.67
-23.53,9.09
-1.41,0.0
-29.41,0.0
-6.59,-50.0
-1.05,-4.17
-4.58,-16.67
-0.4,-50.0
-1.0,100.0
-2.02,-75.0
-3.8,400.0
-2.02,100.0
-4.71,-25.0
-1.0,100.0
-0.66,100.0
-6.59,100.0
-4.71,-100.0
-0.35,-2.17
-0.36,-100.0
-0.8,-100.0
-4.8,-100.0
-11.56,-100.0
-1.01,0.0
-0.68,0.0
-1.97,-80.0
2.07,-100.0
-2.53,0.0
-4.94,-66.67
-0.33,100.0
-7.06,-100.0
-8.33,500.0
-0.8,100.0
-2.47,100.0
-0.36,-6.67
-0.67,100.0
-2.76,50.0
-0.67,-100.0
-2.33,100.0
-0.71,-11.9
-12.5,-80.0
2.38,100.0
-9.09,133.33
-2.43,-100.0
-4.76,200.0
-2.43,-100.0
-1.01,-100.0
2.49,100.0
-2.02,-80.0
-2.53,-50.0
-7.89,100.0
-1.43,-71.43
1.46,-100.0
-1.0,-100.0
-6.46,100.0
6.9,-100.0
0.36,-12.99
1.28,100.0
-1.71,0.0
3.78,0.0
1.81,-60.0
-4.57,-100.0
11.41,-100.0
9.09,0.0
0.36,21.25
4.79,100.0
1.53,100.0
3.26,0.0
-3.85,25.0
20.3,-12.5
1.72,50.0
-2.01,100.0
3.16,0.0
4.22,0.0
0.36,22.58
-2.43,100.0
-1.74,-100.0
2.49,0.0
2.05,100.0
-1.84,0.0
9.05,-100.0
5.35,100.0
5.17,100.0
0.36,-29.01
1.58,100.0
1.73,-100.0
1.55,-100.0
1.45,100.0
-5.1,100.0
0.36,-100.0
5.38,100.0
1.87,100.0
1.87,100.0
9.6,100.0
0.35,0.0
0.71,100.0
10.85,-50.0
