7_days_ago,6_days_ago,5_days_ago,4_days_ago,3_days_ago,2_days_ago,1_days_ago,0_days_ago,sales_change,current_price
0.0,0.0,0.0,0.0,0.0,3.37,-1.95,-0.33,0.0,3.0
0.0,0.0,0.0,0.0,0.0,1.28,-0.18,-0.27,100.0,11.06
0.0,0.0,0.0,0.0,0.0,0.16,0.49,-0.33,2.72,6.09
0.0,0.0,0.0,0.0,3.37,-1.95,-0.33,-1.0,300.0,2.97
0.0,0.0,0.0,0.0,1.28,-0.36,0.0,-0.18,100.0,5.52
0.0,0.0,0.0,0.0,1.28,-0.18,-0.27,-0.81,25.0,10.97
0.0,0.0,0.0,0.0,0.16,0.49,-0.33,0.0,-1.06,6.09
0.0,0.0,0.0,3.37,-1.95,-0.33,-1.0,0.0,-75.0,2.97
0.0,0.0,0.0,1.24,-0.31,0.0,0.0,0.77,-100.0,6.58
0.0,0.0,0.0,-3.51,0.0,0.0,-2.18,-0.74,33.33,4.0
0.0,0.0,0.0,0.76,-0.13,0.0,0.0,-0.63,100.0,7.87
0.0,0.0,0.0,1.28,-0.36,0.0,-0.18,0.0,-100.0,5.52
0.0,0.0,0.0,-1.66,-0.2,0.0,0.0,-0.2,300.0,10.06
0.0,0.0,0.0,-0.96,0.0,-0.65,0.0,0.82,-100.0,6.18
0.0,0.0,0.0,1.28,-0.18,-0.27,-0.81,0.0,-60.0,10.97
0.0,0.0,0.0,0.0,0.0,1.7,-0.3,-0.15,-11.11,6.55
0.0,0.0,0.0,0.16,0.49,-0.33,0.0,-0.16,-2.14,6.08
0.0,0.0,3.37,-1.95,-0.33,-1.0,0.0,0.0,100.0,2.97
0.0,0.0,-3.51,0.0,0.0,-2.18,-0.74,-0.75,25.0,3.97
0.0,0.0,0.76,-0.13,0.0,0.0,-0.63,0.0,-33.33,7.87
0.0,0.0,1.28,-0.36,0.0,-0.18,0.0,0.0,100.0,5.52
0.0,0.0,-1.66,-0.2,0.0,0.0,-0.2,0.0,-50.0,10.06
0.0,0.0,1.28,-0.18,-0.27,-0.81,0.0,0.0,0.0,10.97
0.0,0.0,0.0,0.0,1.7,-0.3,-0.15,0.0,-75.0,6.55
0.0,0.0,0.16,0.49,-0.33,0.0,-0.16,0.0,-3.83,6.08
0.0,3.37,-1.95,-0.33,-1.0,0.0,0.0,0.0,0.0,2.97
0.0,-3.51,0.0,0.0,-2.18,-0.74,-0.75,0.0,-20.0,3.97
0.0,0.76,-0.13,0.0,0.0,-0.63,0.0,0.0,-50.0,7.87
0.0,1.28,-0.36,0.0,-0.18,0.0,0.0,0.0,-100.0,5.52
0.0,-1.66,-0.2,0.0,0.0,-0.2,0.0,0.0,0.0,10.06
0.0,1.28,-0.18,-0.27,-0.81,0.0,0.0,0.0,300.0,10.97
0.0,0.0,0.0,1.7,-0.3,-0.15,0.0,0.0,250.0,6.55
0.0,-0.12,0.0,0.0,0.0,-0.47,0.0,-4.13,-66.67,8.12
0.0,0.16,0.49,-0.33,0.0,-0.16,0.0,-0.16,-2.84,6.07
-0.42,-1.27,0.0,0.0,-0.14,0.0,0.0,0.0,100.0,7.01
3.37,-1.95,-0.33,-1.0,0.0,0.0,0.0,0.0,0.0,2.97
-0.18,0.0,0.0,0.0,-0.63,0.0,0.0,-3.65,0.0,10.57
-3.51,0.0,0.0,-2.18,-0.74,-0.75,0.0,0.0,0.0,3.97
0.76,-0.13,0.0,0.0,-0.63,0.0,0.0,0.0,500.0,7.87
-1.66,-0.2,0.0,0.0,-0.2,0.0,0.0,0.0,-50.0,10.06
-0.96,0.0,-0.65,0.0,0.82,0.0,0.0,0.0,100.0,6.18
1.28,-0.18,-0.27,-0.81,0.0,0.0,0.0,0.0,-62.5,10.97
0.0,0.0,1.7,-0.3,-0.15,0.0,0.0,0.0,-14.29,6.55
-0.12,0.0,0.0,0.0,-0.47,0.0,-4.13,4.31,100.0,8.47
0.16,0.49,-0.33,0.0,-0.16,0.0,-0.16,-0.33,-1.17,6.05
-1.95,-0.33,-1.0,0.0,0.0,0.0,0.0,0.0,100.0,2.97
0.0,0.0,0.0,0.0,0.0,4.47,3.43,0.83,0.0,4.87
0.0,0.0,0.0,-0.63,0.0,0.0,-3.65,3.78,0.0,10.97
0.0,0.0,-2.18,-0.74,-0.75,0.0,0.0,0.0,100.0,3.97
-0.13,0.0,0.0,-0.63,0.0,0.0,0.0,-4.07,-50.0,7.55
-0.18,-0.27,-0.81,0.0,0.0,0.0,0.0,0.0,-33.33,10.97
